	R	RDes	P	PDes	Y	YDes	FaultIn	RRPrediction
7	0.0170034279779733	-0.320035165480951	0.0156205420994941	-0.251287611054058	0.0952075075004623	0.000198863212451629	0	0
8	0.0179412290394914	-0.327495912151434	0.0219141273517614	-0.257855811368261	0.0951728760624952	2.5229425115870002e-05	0	0
9	0.0158257058513577	-0.32762274323283697	0.0162508303131718	-0.257618528696837	0.0952054331365761	0.000425385276156401	0	0
10	0.0181556174706771	-0.327229669146224	0.0166296247320212	-0.25805917354799496	0.0898603600927136	0.00012958647027090802	0	0
11	0.0168222982907945	-0.334607945741905	0.0148837591995324	-0.26390465403729896	0.0922307542633639	6.48483132616333e-05	0	0
12	0.0153488537403597	-0.33365040597153695	0.0149807668842206	-0.265025129853147	0.0944107379206422	0.000275154585672414	0	0
13	0.0187403019377348	-0.33953528772784597	0.0144266739192118	-0.27236415167486605	0.0934379580764964	0.000289869265691211	0	0
14	0.0209629603362314	-0.346213834976397	0.0141121638536361	-0.27844520318280996	0.0920232750336155	0.00013034726699823798	0	0
15	0.0172534037392561	-0.352498806988744	0.0170813160229537	-0.28461453344955395	0.0902878438566398	0.00013609977668783	0	0
16	0.0223288047368673	-0.35839365451316707	0.0170592636178901	-0.290783889453343	0.0962342294337754	0.000171520538514727	0	0
17	0.0170371974313232	-0.3641335256644829	0.0178491021442415	-0.297725441520528	0.0909617377544314	0.00021588386183422	0	0
18	0.0199291217330056	-0.37042178870504205	0.0183202854604148	-0.30303127504451	0.0875344924925598	0.000272829836157138	0	0
